"Card ID","Title","Phase","Track","Status","Priority","Size","Depends On","Labels","Description","Definition of Done","Commit Message Template"
"YW-001","Lock code-first GraphQL contract and error matrix","A","PM/FS","Todo","P0","M","-","phase:A;track:pm;area:spec","Confirm code-first GraphQL as the single API contract and lock field semantics, pagination contract, and error mapping baseline.","Approved spec doc defines code-first GraphQL contract, generated schema snapshot policy, cursor semantics, and canonical error codes.","docs(spec): lock code-first graphql contract baseline [YW-001]"
"YW-002","Define project card and commit conventions","A","DevEx","Todo","P0","S","YW-001","phase:A;track:devex;area:process","Document card id usage, branch naming, PR template, and commit format with [YW-xxx].","CONTRIBUTING.md contains mandatory card linkage rules for branch, commit, and PR.","docs(devex): add project card and commit conventions [YW-002]"
"YW-003","Update Husky commit-msg rule for [YW-xxx]","A","DevEx","Todo","P0","S","YW-002","phase:A;track:devex;area:git","Extend existing Husky setup to reject commits without card id token.","Local commit is blocked when subject does not include [YW-xxx].","chore(devex): enforce card id in commit messages [YW-003]"
"YW-004","Set baseline CI for client and api-java","A","CI","Todo","P1","M","YW-002","phase:A;track:ci","Create required checks for lint, test, and build across client and api-java.","Main branch has required checks and green baseline pipeline.","ci: add baseline pipeline for client and api [YW-004]"
"YW-005","Validate Docker compose and local runbook","A","OPS/DevEx","Todo","P1","S","YW-002","phase:A;track:ops;area:env","Verify docker-compose.dev/prod startup paths and document one-command local bring-up.","README runbook is reproducible for db up, api run, and client run.","docs(ops): validate docker compose runbook [YW-005]"
"YW-006","Resolve Drizzle artifact ownership","A","DevEx","Todo","P2","S","YW-001","phase:A;track:devex;area:cleanup","Decide whether drizzle files are in-use or legacy; either wire them clearly or remove/archive them.","Repository has no ambiguous DB ownership between Flyway and Drizzle files.","chore(repo): clarify drizzle ownership [YW-006]"
"YW-007","Implement code-first GraphQL runtime wiring","A","BE/DevEx","Todo","P0","M","YW-001","phase:A;track:backend;area:graphql;mode:code-first","Replace SDL-first runtime with code-first resolver-driven schema generation and stable /api/graphql transport.","GraphQL runtime is built from resolver code, no manual SDL is required for server startup, and endpoint behavior is verified.","feat(api): wire code-first graphql runtime [YW-007]"
"YW-008","Add schema codegen and drift guard","A","CI/DevEx","Todo","P0","S","YW-007|YW-004","phase:A;track:ci;area:graphql;mode:code-first","Add command to export generated schema snapshot and fail CI when generated schema drifts from committed artifact.","`npm run graphql:codegen` produces deterministic schema output and CI drift check blocks stale schema commits.","ci(graphql): add schema codegen drift guard [YW-008]"
"YW-009","Build Vue UI foundation layer","B","FE","Todo","P0","M","YW-001","phase:B;track:frontend;area:components","Implement global design tokens, spacing scale utilities, typography styles, and base layout wrappers for 4 breakpoints.","Shared style foundation is used by all new feature pages and follows fig spacing/token rules.","feat(client): build ui foundation layer [YW-009]"
"YW-010","Implement Vue base form components","B","FE","Todo","P0","M","YW-009","phase:B;track:frontend;area:components","Create reusable components: UiButton, UiIconButton, UiTextField, UiPasswordField, UiSelect, UiInlineError.","Form components support loading/disabled/error states and are adopted by login and person forms.","feat(client): add base form components [YW-010]"
"YW-011","Create users schema migration","B","BE/DB","Todo","P0","M","YW-001","phase:B;track:backend;area:auth","Add Flyway migration for users with email, password hash, and timestamps.","Migration applies successfully and users table supports auth needs.","feat(db): add users migration [YW-011]"
"YW-012","Implement JWT auth core","B","BE","Todo","P0","M","YW-011","phase:B;track:backend;area:auth","Implement token issuing, validation, expiry handling, and request auth filter.","Protected routes accept valid JWT and reject invalid or expired tokens.","feat(api): implement jwt auth core [YW-012]"
"YW-013","Implement auth GraphQL/API operations","B","BE","Todo","P0","M","YW-012|YW-007","phase:B;track:backend;area:auth","Implement login, logout, and me operations with agreed response contracts.","Login returns token+user, me works with token, logout flow follows contract.","feat(api): add auth operations login logout me [YW-013]"
"YW-014","Set up Vue GraphQL client and frontend codegen","B","FE/DevEx","Todo","P0","S","YW-008","phase:B;track:frontend;area:graphql","Install and configure GraphQL client with auth header injection and add frontend codegen pipeline to generate TypeScript types from committed schema snapshot.","GraphQL client is wired to /api/graphql with auth token auto-injection and codegen produces type-safe operation composables.","feat(client): set up graphql client and codegen [YW-014]"
"YW-015","Add client auth store and route guard","B","FE","Todo","P0","M","YW-013|YW-014","phase:B;track:frontend;area:auth","Create auth state management and route protection behavior.","Unauthenticated access redirects to login and session restore behavior is stable.","feat(client): add auth store and guards [YW-015]"
"YW-016","Build login UI states (1440 and 375)","B","FE","Todo","P0","M","YW-015|YW-010","phase:B;track:frontend;area:auth;design:fig","Implement login form for desktop/mobile with loading and error states.","Both breakpoints support login happy path, invalid credentials, and loading UX.","feat(client): implement login ui states [YW-016]"
"YW-017","Implement logout entry and auth flow tests","B","FE/QA","Todo","P1","M","YW-016","phase:B;track:frontend;area:auth","Add logout entry points (desktop menu/mobile sheet) and phase-level auth tests.","Desktop and mobile logout works; integration tests cover login/token/logout paths.","feat(auth): add logout ui and auth tests [YW-017]"
"YW-018","Create people schema migration","C","BE/DB","Todo","P0","L","YW-001","phase:C;track:backend;area:people","Add people domain schema replacing homework model with required fields.","People table and constraints are migrated and verified.","feat(db): add people schema migration [YW-018]"
"YW-019","Add people query indexes","C","BE/DB","Todo","P0","M","YW-018","phase:C;track:backend;area:people;perf","Create indexes for keyset pagination, sort, and search patterns.","Explain plans show index usage for target query patterns.","feat(db): add people query indexes [YW-019]"
"YW-020","Implement bulk import bootstrap","C","BE/DB","Todo","P0","M","YW-018","phase:C;track:backend;area:data","Implement bulk import process (non-seed) to pre-populate dataset for development and tests.","Bulk import command loads sample dataset reproducibly without app-level seeding.","feat(data): add bulk import bootstrap [YW-020]"
